time,area_al2cu_eta1,area_al2cu_eta2,area_al3ni_eta3,area_al3ni_eta4,area_al3ni_eta5,area_al_eta6
13352000,11461.19849585,11384.374266289,4536.0032566527,7441.898429258,13950.327170485,311226.19838147
13672000,11204.057539213,11144.311098648,4534.1230690002,7440.8361494854,13951.008197974,311725.66394568
13992000,10948.9936698,10914.349759659,4533.9514134697,7440.2406362663,13951.311690619,312211.15283019
14312000,10693.9702469,10675.58423967,4534.4818003202,7437.1660401475,13951.383668103,312707.41400486
14632000,10438.215154589,10419.773407346,4535.3014153645,7431.2777657759,13951.637260551,313223.79499638
14952000,10188.097050086,10156.994788034,4536.0540401933,7427.6591268404,13951.755833031,313739.43916182
15272000,9947.3650138021,9908.1575769101,4536.8431272715,7426.8375060468,13951.187121537,314229.60965443
15592000,9712.0974830103,9680.1971213001,4537.6179681797,7425.5866424972,13950.359149168,314694.14163585
15912000,9477.5312212165,9462.3107357934,4538.2212349905,7424.008044739,13949.676194299,315148.25256896
16232000,9242.4689355286,9244.1016154007,4538.6881107327,7422.6727761139,13950.629098602,315601.43946362
16552000,9007.3116394064,9019.9792992217,4539.1390015859,7422.3611174846,13952.134105094,316059.07483721
16872000,8775.8912660605,8787.7338762122,4539.6911659689,7422.5636074774,13952.535655948,316521.58442834
17192000,8553.1642522512,8554.0193426137,4540.4037418471,7422.8921628239,13952.92012304,316976.60037743
17512000,8337.1468309039,8329.5041317656,4541.3301958011,7423.4359250956,13954.01036232,317414.57255412
17832000,8122.817156665,8121.2270305743,4542.6468226298,7424.197767646,13953.528272239,317835.58295025
18152000,7908.3213814436,7927.0684500724,4544.6659014252,7425.2620922769,13952.852982621,318241.82919216
18472000,7693.5405448901,7732.3887394747,4547.2379889231,7426.5484932292,13952.375550166,318647.90868332
18740800,7513.6672513881,7558.6874873224,4548.3744134474,7427.7541643726,13952.109444243,318999.40723923
18996800,7345.5810523496,7385.5657156431,4548.8818485794,7428.9146111007,13951.96002587,319339.09674646
19252800,7183.5671462763,7211.8630639035,4549.3129804111,7430.0520727545,13951.906442953,319673.2982937
19508800,7027.0910851323,7045.1421536644,4549.7480643218,7431.638547162,13951.914235613,319994.46591411
19764800,6872.680440308,6890.0118394516,4550.1906003121,7433.736294784,13951.993872612,320301.38695253
20020800,6718.3874695263,6744.6825367567,4550.6802444034,7436.8540675256,13952.090484297,320597.30519749
20276800,6563.9833833147,6601.9601830486,4551.1986406146,7441.1344360254,13952.180609469,320889.54274753
20532800,6408.7090291613,6453.6774473691,4551.7530928345,7446.9303588195,13952.249633405,321186.68043841
20788800,6252.8673090214,6297.4016690927,4552.3092019551,7454.7320723569,13952.28771119,321490.40203639
21044800,6099.1785765047,6135.6119551251,4552.8894047671,7465.3121497788,13952.3012629,321794.70665092
21300800,5950.848866992,5969.8764648387,4553.4824553826,7479.9714282673,13952.291417803,322093.52936672
21556800,5808.4104239563,5800.5882129582,4554.0524043034,7500.5400753951,13952.263104938,322384.14577845
