time,area_al2cu_eta1,area_al2cu_eta2,area_al3ni_eta3,area_al3ni_eta4,area_al3ni_eta5,area_al_eta6
8188000,16855.70913634,16633.446161934,4996.3903663617,8041.1776114965,14647.015886621,298826.26083725
8508000,16556.391104692,16352.562016188,4998.966550792,8051.9956932705,14665.551950861,299374.5326842
8828000,16259.685357763,16069.635140722,5003.637047768,8059.1434114134,14681.256236909,299926.64280543
9148000,15960.073318069,15770.528044327,5009.5471698109,8063.5860791789,14694.521669384,300501.74371923
9468000,15657.949511327,15461.674692778,5017.6594539617,8076.1108294705,14707.180822388,301079.42469008
9788000,15361.28778319,15160.658132119,5027.0016364748,8091.4075025864,14719.923247819,301639.72169781
10108000,15075.074071268,14877.062772946,5035.4560543068,8103.9854243676,14732.432938187,302175.98873893
10428000,14797.043848171,14610.038061324,5042.0535629783,8114.3762211379,14744.637399573,302691.85090682
10748000,14521.147442203,14347.884289724,5048.2736198129,8123.3946315818,14756.814011324,303202.48600536
11068000,14242.392069748,14077.577426465,5054.1576655978,8131.4805973105,14768.554755207,303725.83748567
11388000,13961.450853909,13799.787013083,5059.851817946,8138.9477416709,14778.709568477,304261.25300492
11708000,13685.019177187,13522.700475655,5065.494754639,8146.2634630672,14787.818543503,304792.70358595
12028000,13418.049551753,13251.334135817,5071.5937438649,8153.9236627074,14797.017926846,305308.08097901
12348000,13157.737908635,12991.037776937,5078.2897446721,8162.3056830453,14807.042344727,305803.58654199
12668000,12899.379051269,12743.602958702,5085.9529824997,8171.2750210949,14816.711081063,306283.07890537
12988000,12641.582215339,12500.550602156,5094.2982298666,8179.3774388979,14827.579185854,306756.61232789
13308000,12383.749016567,12253.344598605,5101.5774675705,8185.870627975,14839.066925878,307236.39136341
13628000,12126.998111792,12000.087987589,5107.2479084395,8191.2539467553,14849.925444502,307724.48660092
13922400,11894.72567288,11764.680281629,5110.3572784062,8195.3617643954,14858.048752903,308176.82624979
14178400,11697.526251952,11563.458360648,5113.6815267239,8197.5813908134,14863.987908987,308563.76456088
14434400,11504.580845853,11370.606456265,5116.4638867077,8199.1695337327,14869.120840959,308940.05843649
14690400,11314.546755722,11186.923565509,5118.4539936741,8200.2934997458,14872.087263923,309307.69492143
14946400,11125.988501019,11008.392518866,5120.3239659779,8200.8482804155,14873.290564568,309671.15616915
15202400,10937.62874628,10829.835312646,5122.2832614324,8201.0718650265,14874.228839675,310034.95197494
15458400,10748.342557846,10648.374967475,5124.6690455729,8201.2847966711,14874.521082007,310402.80755043
15714400,10558.355769409,10463.359814558,5127.542046168,8201.4625168378,14874.481633014,310774.79822001
15970400,10370.231833048,10276.641336033,5131.0468041092,8201.6931417922,14874.383480577,311146.00340444
16226400,10186.914652936,10092.182486901,5134.9640092165,8201.8829180994,14874.357932504,311509.69800034
16482400,10009.189589226,9913.0712884616,5138.9125879807,8202.1139804837,14874.320781525,311862.39177232
16738400,9835.3551244851,9739.6202495081,5142.1527094884,8202.3171752349,14874.323001488,312206.2317398
16994400,9662.7846857428,9570.6046823659,5144.3483796683,8202.5384216078,14874.3145042,312545.40932642
17250400,9489.785393475,9404.6526068604,5145.9259737106,8202.735507722,14874.298916934,312882.6016013
17506400,9316.0586255849,9240.3473648683,5147.035715861,8202.9432115808,14874.263232332,313219.35184977
17762400,9141.9040866007,9075.4073629612,5148.1131471152,8203.1442246291,14874.211504081,313557.21967462
18018400,8968.3608735138,8908.0121952829,5149.3142838583,8203.3559843327,14874.129691628,313896.82697139
18274400,8797.503831783,8739.2491737567,5150.5694741867,8203.5882080984,14874.020628436,314235.06868374
18530400,8631.2624634728,8571.9995400195,5151.6872761208,8203.8718288995,14873.881547717,314567.29734377
18786400,8469.6688163666,8408.1328131385,5152.6998497289,8204.2308786441,14873.718817651,314891.54882447
19042400,8310.8512667277,8248.5313658586,5153.8705914782,8204.6550201144,14873.538304265,315208.55345156
19298400,8153.2347790389,8094.1416164771,5155.3368812269,8205.1433079833,14873.348871617,315518.79454366
19554400,7996.0819316835,7944.710062885,5156.8336865174,8205.6780945086,14873.154945191,315823.54127922
19810400,7838.5881061378,7796.7758267536,5158.2919810537,8206.2676154559,14872.965564915,316127.11090569
20066400,7680.087082742,7646.2317419692,5160.1757421133,8206.8800003683,14872.781347746,316433.84408506
20312160,7527.5701153293,7498.4834403441,5162.2369584065,8207.5395911311,14872.615079242,316731.55481555
20476000,7426.7505701812,7399.4684305687,5162.6689219082,8208.0457191471,14872.510649461,316930.55570874
20639840,7327.7911920835,7301.2779082569,5162.6605484276,8208.5964587643,14872.411781807,317127.26211066
20803680,7231.2172683038,7204.3680134776,5162.642953799,8209.2929199286,14872.317917,317320.16092749
20967520,7137.0168199047,7108.9704062376,5162.6372137965,8210.1095480448,14872.231048763,317509.03496326
21131360,7044.7037022508,7015.0733947466,5162.6450253407,8211.1617979209,14872.150318645,317694.2657611
21295200,6953.5783726461,6922.850750808,5162.6619558059,8212.661099912,14872.077994724,317876.16982611
21405352.9088,6892.6736831872,6861.7322350949,5162.6815617931,8215.4521618954,14872.034804099,317995.42555393
21441447.813956,6872.7410897123,6841.8724633895,5162.6884968898,8217.0990693981,14872.021525305,318033.57735531
21453275.392477,6866.213554397,6835.3794355104,5162.6915846813,8217.4144011407,14872.017273826,318046.28375045
21457151.053407,6864.0726569882,6833.2540702061,5162.6924053543,8217.4840240666,14872.015926347,318050.48091704
