T,,B,,C11,C12,,C13,,C33,,C44,,C66
94,,917.321263269,,1541.92893977,667.263977127,,574.91821681,,1543.35102717,,314.104809562,,341.325923615
97,,916.812147134,,1541.31360626,666.652399337,,574.549093224,,1542.67880599,,313.945986062,,341.091178363
100,,916.294375833,,1540.68731341,666.037270925,,574.171318185,,1541.99326032,,313.787269284,,340.85828247
103,,915.768554957,,1540.05078331,665.419315602,,573.785342827,,1541.29516438,,313.628847533,,340.627511276
106,,915.235255345,,1539.4046986,664.79919341,,573.391599994,,1540.58525375,,313.470889265,,340.399106185
109,,914.695013676,,1538.74970276,664.177505987,,572.990502395,,1539.86422759,,313.313545812,,340.173277042
112,,914.148334009,,1538.0864011,663.554799799,,572.582444124,,1539.13274845,,313.156951588,,339.950204602
115,,913.595687492,,1537.41536115,662.931568978,,572.167798497,,1538.39144237,,313.001225745,,339.730042963
118,,913.03751448,,1536.737115,662.308258333,,571.746919859,,1537.64090042,,312.8464732,,339.512921618
121,,912.474226071,,1536.05216032,661.685269386,,571.32014304,,1536.88168108,,312.692785203,,339.298947821
124,,911.906204119,,1535.36096212,661.062959356,,570.887783486,,1536.11430869,,312.540241554,,339.088208439
127,,911.333804408,,1534.66395368,660.441648335,,570.450139422,,1535.3392774,,312.388910484,,338.88077191
130,,910.757357273,,1533.96153937,659.821620427,,570.007491037,,1534.55705248,,312.238850161,,338.676689836
133,,910.177168461,,1533.25409502,659.203126585,,569.56010101,,1533.76806987,,312.090109172,,338.475998922
136,,909.593521997,,1532.54197124,658.586387552,,569.108217057,,1532.97273945,,311.942727868,,338.278722033
139,,909.006679911,,1531.82549247,657.971596827,,568.652070202,,1532.1714457,,311.796738992,,338.084869978
142,,908.416885491,,1531.10496158,657.358922774,,568.191878263,,1531.36454973,,311.652167824,,337.894442559
145,,907.824361977,,1530.38065792,656.748509015,,567.727843855,,1530.55238885,,311.509033303,,337.707429741
148,,907.229316595,,1529.65284202,656.140480215,,567.260157026,,1529.73528152,,311.3673487,,337.523812803
151,,906.63193944,,1528.9217545,655.53494007,,566.788995214,,1528.91352388,,311.227122079,,337.343565126
154,,906.032406079,,1528.18761871,654.931974543,,566.314524923,,1528.08739449,,311.088356396,,337.16665327
157,,905.43087762,,1527.45064086,654.331655887,,565.836899985,,1527.25715436,,310.951050892,,336.993037673
160,,904.827502396,,1526.71101193,653.73403887,,565.356265869,,1526.42304775,,310.815200537,,336.822673324
163,,904.222416098,,1525.96890879,653.13916676,,564.872756425,,1525.58530321,,310.680796459,,336.655510409
166,,903.615743313,,1525.22449423,652.547070418,,564.386497237,,1524.74413519,,310.54782766,,336.491495017
169,,903.007597563,,1524.47791833,651.957768254,,563.897605203,,1523.89974348,,310.416279326,,336.330569508
172,,902.398083144,,1523.72931997,651.371271329,,563.406188957,,1523.05231551,,310.28613454,,336.172673195
175,,901.787295152,,1522.978827,650.787580021,,562.912350103,,1522.20202718,,310.157374008,,336.017742343
178,,901.17531931,,1522.22655633,650.206686517,,562.416182,,1521.34904161,,310.029976661,,335.86571127
181,,900.562234269,,1521.47261574,649.628576188,,561.917772464,,1520.49351244,,309.903919167,,335.716511928
184,,899.948110833,,1520.71710456,649.053227194,,561.417202137,,1519.63558296,,309.779176879,,335.57007454
187,,899.333013286,,1519.96011299,648.480611825,,560.914547086,,1518.77538623,,309.655723494,,335.426328039
190,,898.716998766,,1519.20172422,647.910696493,,560.40987606,,1517.91304646,,309.533531616,,335.285200006
193,,898.100119369,,1518.44201278,647.343442449,,559.90325509,,1517.04868065,,309.412572525,,335.146617128
196,,897.482420817,,1517.68104791,646.778807101,,559.394742947,,1516.18239667,,309.292816469,,335.010505008
199,,896.863943911,,1516.91889156,646.21674254,,558.88439557,,1515.31429449,,309.174232873,,334.876788898
202,,896.244724737,,1516.15559965,645.657198407,,558.372264218,,1514.44446768,,309.056790343,,334.745393357
205,,895.624794125,,1515.39122276,645.100118754,,557.858395766,,1513.57300204,,308.940456494,,334.61624248
208,,895.004179656,,1514.62580578,644.545447006,,557.342834055,,1512.69997914,,308.825198506,,334.489260176
211,,894.382903997,,1513.85938897,643.9931214,,556.825619012,,1511.8254719,,308.710983028,,334.364370123
214,,893.760986914,,1513.09200741,643.443079563,,556.306788158,,1510.94954851,,308.597776116,,334.241496084
217,,893.138443899,,1512.32369239,642.895255017,,555.786374696,,1510.07227203,,308.485543285,,334.120561344
220,,892.515287577,,1511.55447011,642.349579446,,555.264410261,,1509.19369979,,308.374249513,,334.001489555
223,,891.891527168,,1510.78436362,641.805982565,,554.740923163,,1508.31388265,,308.263859781,,333.88420419
226,,891.267168912,,1510.01339101,641.264392329,,554.215938814,,1507.43286943,,308.1543383,,333.768628897
229,,890.642216733,,1509.24156811,640.724733827,,553.689481553,,1506.55070291,,308.045649108,,333.654687543
232,,890.016671559,,1508.46890651,640.186932094,,553.161572695,,1505.66742007,,307.937755999,,333.542303798
235,,889.390531816,,1507.69541468,639.650909364,,552.632231444,,1504.78305547,,307.830622404,,333.431401944
238,,888.763793236,,1506.92109776,639.116585777,,552.101474971,,1503.89763866,,307.724211339,,333.321905779
