time,area_al2cu_eta1,area_al2cu_eta2,area_al3ni_eta3,area_al3ni_eta4,area_al3ni_eta5,area_al_eta6
0,25902.432232656,25457.51108317,5019.481642672,7860.9653404568,14594.041229196,281165.56847187
500000,25665.575657346,25221.007069314,5106.998563399,7962.3841832421,14721.559257932,281322.47526877
920000,25355.735838821,24900.557970239,5224.4511992242,8102.1000639192,14887.03349365,281530.12143415
1256000,25059.827459059,24593.629583602,5335.9193208402,8239.9663722453,15048.266827287,281722.39043697
1576000,24759.053095381,24284.568798481,5451.4025987067,8382.0857527467,15219.250269218,281903.63948547
1896000,24454.98402171,23974.053734472,5574.1746734914,8529.4680293892,15401.854348052,282065.46519289
2216000,24157.826459365,23670.07722944,5701.8710951362,8681.1105577865,15591.053552478,282198.06110579
2536000,23871.796727321,23373.910327923,5832.6033212427,8837.8066226114,15782.206666932,282301.67633397
2856000,23595.171973778,23084.283429572,5964.4112195006,8997.5975802468,15971.491674801,282387.0441221
3176000,23322.768987888,22800.924830161,6094.2690481098,9155.2940220416,16156.669523977,282470.07358782
3496000,23049.899577909,22520.883760297,6221.3482576203,9308.3498632266,16337.488218553,282562.0303224
3816000,22773.716060953,22237.076748835,6348.6465053644,9458.8997725761,16515.440560556,282666.22035172
4136000,22493.384265755,21943.339209718,6479.8174693132,9611.2659592772,16692.830713776,282779.36238216
4456000,22210.143334795,21640.441570316,6615.1404193541,9768.8554481939,16871.973214798,282893.44601254
4776000,21927.044122489,21336.933589685,6751.9378400189,9931.4818935313,17054.615481395,282997.98707288
5096000,21648.185879501,21042.009123654,6889.2808830606,10095.67897526,17241.818935674,283083.02620285
5416000,21375.812679978,20757.662559415,7028.650031659,10260.525630721,17433.674779399,283143.67431883
5736000,21109.811981377,20479.18968478,7171.8481478095,10428.848629695,17629.279188508,283181.02236783
6056000,20847.620488737,20199.343758956,7319.5988157863,10603.33895155,17826.776077049,283203.32190792
6376000,20585.913347831,19914.480248292,7470.5272527102,10782.176437682,18024.053074598,283222.84963889
6696000,20322.553424115,19627.014173162,7621.7867351483,10959.470287244,18219.249646478,283249.92573385
7016000,20057.507162778,19340.424242896,7771.3641266313,11132.156697882,18411.50545278,283287.04231703
7284800,19835.014336962,19100.812027573,7896.1623394546,11275.133203678,18570.908092358,283321.96999997
7540800,19624.946335593,18872.890515191,8015.8731794693,11411.957029932,18721.559826682,283352.77311313
7796800,19417.846637007,18644.711831315,8137.6716373203,11551.483959212,18871.95569263,283376.33024252
8052800,19213.955964277,18417.625015363,8261.4186842068,11694.321773343,19023.142399867,283389.53616294
8308800,19013.02292854,18194.05013721,8385.9529292891,11839.574548498,19175.980826658,283391.41862981
8564800,18814.029563366,17975.04595502,8510.5666601945,11985.99836023,19331.082145986,283383.2773152
8820800,18616.19041023,17758.827369781,8635.8132655666,12133.220125951,19488.688504462,283367.26032401
9076800,18418.615732324,17541.871368273,8762.9440212715,12281.984522256,19648.508991196,283346.07536468
9332800,18221.084378447,17321.233136018,8892.8344805458,12433.479117287,19809.930023501,283321.4388642
9588800,18023.76985066,17096.9067781,9025.1915861418,12587.684566883,19971.954814552,283294.49240366
9844800,17827.126839906,16871.772915174,9158.8250497398,12742.759127927,20133.632430447,283265.88363681
10100800,17631.732362671,16649.359674659,9292.523446969,12896.065050371,20294.168548868,283236.15091646
10356800,17438.00893253,16431.874395069,9425.6153332721,13046.153511864,20453.067631911,283205.28019536
10612800,17246.28836277,16219.184652292,9557.9233851242,13193.777185503,20610.343083564,283172.48333075
10868800,17056.622210877,16009.48609815,9689.6014100731,13341.525342727,20766.357562862,283136.40737531
11124800,16868.767829812,15800.206493167,9821.4804341649,13491.865480246,20921.812264038,283095.86749857
11380800,16682.423660062,15589.651060303,9954.6129707632,13645.807104356,21077.521686378,283049.98351814
11636800,16497.196182169,15377.996641921,10089.636548713,13802.299937505,21234.284214973,282998.58647472
11892800,16312.727633286,15166.823750587,10226.296234942,13959.544297314,21392.630102331,282941.97798154
12148800,16128.951808301,14958.318813359,10364.03338527,14115.981052504,21552.969260144,282879.74568042
12404800,15945.532177245,14753.408821433,10502.173803005,14271.211130943,21715.188961492,282812.48510588
12660800,15762.957040521,14551.392950927,10640.756027993,14425.899632194,21879.016145685,282739.97820268
12916800,15581.609902631,14350.007057049,10780.347100406,14581.524193386,22043.861237355,282662.65050917
13172800,15401.693405194,14147.498017258,10921.125090935,14739.649558673,22209.036254183,282580.99767376
13428800,15223.635249725,13944.127127288,11062.560350924,14900.726586304,22373.953431386,282494.99725437
13684800,15047.412548887,13741.817423028,11203.776593323,15063.335361974,22538.069951109,282405.58812168
13940800,14872.834586609,13543.180350543,11344.591086823,15224.572799024,22701.085752035,282313.73542497
14196800,14699.484974433,13349.601184472,11485.376341051,15382.433547781,22863.065954272,282220.03799799
14452800,14527.032407082,13160.814167709,11626.369214416,15536.511872737,23024.253407743,282125.01893032
14708800,14355.205130791,12975.399174802,11767.48042013,15688.391775277,23185.005481677,282028.51801732
14964800,14184.049363436,12791.176015816,11908.755673506,15840.613380922,23345.884791471,281929.52077485
15220800,14013.648438496,12605.223714283,12051.017950023,15996.324201135,23507.411608216,281826.37408785
15476800,13844.409709657,12414.643607512,12195.071711107,16158.420750988,23669.986230034,281717.4679907
15732800,13676.655232347,12218.539233225,12341.013436829,16328.2453407,23833.95270249,281601.59405441
15988800,13510.475086756,12019.677409854,12488.099663613,16503.885277112,23999.384121841,281478.47844082
16244800,13346.027035825,11824.065933968,12635.511949656,16680.132433036,24166.271092848,281347.99155467
16500800,13182.904651241,11635.361540758,12783.339145885,16852.571246503,24334.223931035,281211.59948458
16756800,13021.039356786,11452.263629615,12932.029241146,17020.789070261,24502.942032484,281070.93666971
17012800,12859.989318416,11270.427395591,13081.95464945,17187.612193157,24671.869686872,280928.14675651
17268800,12699.604492052,11085.0848509,13233.332001466,17357.319807815,24840.491140679,280784.16770709
17524800,12539.914163601,10891.824165625,13386.880591089,17534.093700126,25008.403359882,280638.88401968
17739840,12406.378573716,10719.62646912,13518.289504004,17691.969349125,25148.720779805,280515.01532423
17944640,12279.889994537,10543.263234766,13646.791355799,17853.71576659,25281.747829863,280394.59181845
18149440,12154.209914678,10351.968204051,13778.805635772,18030.072021791,25414.166280516,280270.77794319
18354240,12029.442312575,10144.758720816,13914.545060479,18222.580508724,25546.189846271,280142.48355114
18559040,11905.645686341,9924.9219920572,14054.205989418,18428.188685486,25677.984428183,280009.05321852
18763840,11782.845913767,9699.2100839835,14197.945034214,18639.993201256,25809.855151973,279870.15061481
18935872,11680.383305117,9509.7966085504,14321.842905776,18817.516048629,25920.87438829,279749.58674364
19099712,11583.425711186,9329.8461643723,14442.665455381,18985.395096767,26026.96885703,279631.69871527
19263552,11486.984369406,9149.7134994678,14566.374048428,19152.269882717,26133.606489047,279511.05171094
19427392,11391.030182055,8968.235147087,14693.214826474,19318.984645898,26240.790382094,279387.74481639
19591232,11295.492124166,8784.9930950817,14823.264015153,19485.839463279,26348.536688802,279261.87461352
19755072,11200.357974585,8600.243870454,14956.451408947,19652.797387416,26456.89216519,279133.25719341
19918912,11105.682339772,8414.6841741312,15092.481852045,19819.604874468,26565.890904629,279001.65585495
20082752,11011.09338871,8228.5963531285,15230.938060242,19986.399929948,26675.392660785,278867.57960719
20246592,10916.846927062,8042.0663877856,15371.113646822,20153.591151177,26785.380029225,278731.00185793
20410432,10822.90451764,7854.049796694,15512.364760801,20322.634347299,26895.587906722,278592.45867084
20574272,10729.281663791,7662.8908552713,15654.138983792,20495.412901684,27006.061659615,278452.21393585
20738112,10636.273157542,7467.6940231491,15796.072798316,20673.117509645,27116.455486526,278310.38702482
20901952,10543.513586454,7273.2477264994,15938.116918841,20851.046842068,27226.824907438,278167.2500187
21065792,10451.276473889,7081.6243531985,16079.748891782,21027.401403882,27336.85591954,278023.09295771
21229632,10359.557311451,6888.4411476624,16221.717273413,21205.73936671,27446.692824847,277877.85207592
21393472,10268.447755668,6689.7447225144,16364.790992197,21388.73198483,27556.059958135,277732.22458666
21531097.6,10192.394496835,6517.1874316894,16486.59550216,21547.030601319,27647.612607558,277609.17936044
21662169.6,10120.379828787,6350.0558610575,16602.068208284,21701.528847797,27734.571691421,277491.39556265
21793241.6,10048.718760407,6182.3847286332,16718.063492399,21856.128533308,27821.280112178,277373.42437308
21924313.6,9977.4313675619,6017.4919984945,16835.036864842,22007.675715503,27907.851289439,277254.51276416
22055385.6,9906.5232234747,5854.9952291961,16953.077329841,22156.91457401,27994.251737207,277134.23790627
22186457.6,9835.8321781667,5696.8317079848,17071.834813308,22302.462614077,28080.565003573,277012.47368289
22317529.6,9765.4197039292,5545.8767875683,17192.610919902,22440.389648182,28166.83391824,276888.86902218
22443358.72,9698.0280698327,5406.9517650002,17315.045920995,22561.447060636,28249.615371327,276768.91181221
22548216.32,9642.0076910267,5294.5589707114,17406.654487922,22670.252853171,28318.747335181,276667.77866199
