time,area_al2cu_eta1,area_al2cu_eta2,area_al3ni_eta3,area_al3ni_eta4,area_al3ni_eta5,area_al_eta6
18723000,11904.595757132,9164.0863350224,15314.788609159,20086.017492402,27041.242257025,276489.26954926
19328000,11545.977469923,8448.9891791004,15864.744386467,20762.620775138,27498.320259435,275879.34792994
19933000,11193.547638564,7694.0491130537,16431.87594468,21463.008858344,27952.390110978,275265.12833438
20538000,10846.075524214,6929.2927657895,17009.16364147,22177.339566028,28405.935146711,274632.19335579
21143000,10503.882244788,6138.1765995996,17599.007282381,22932.934979008,28864.771821147,273961.22707308
21748000,10168.406621711,5447.0308226523,18188.806057843,23609.0257449,29330.738863469,273255.99188943
22256200,9892.117494291,4883.5179359528,18685.548843733,24165.960795145,29725.345540151,272647.50939073
22740200,9633.0855593858,4393.1591115677,19118.725005515,24696.893679826,30101.068105157,272057.06853855
23224200,9377.0220258315,3961.2394366319,19537.358310326,25190.23409419,30474.880558629,271459.26557439
23708200,9123.9692268862,3572.0346996628,19966.029107166,25640.26868542,30847.827983742,270849.87029712
24192200,8874.833543212,3232.7833627951,20388.203757221,26062.961403436,31222.033900437,270219.1840329
24676200,8630.44405435,2929.1134460326,20804.068398403,26471.190865823,31599.6182616,269565.56497379
25160200,8390.6506491269,2643.8806854121,21216.379054925,26874.099088954,31981.511429474,268893.47909211
25644200,8154.2972326205,2379.633326983,21628.276330823,27264.500593127,32366.416232645,268206.8762838
26128200,7920.3775207128,2137.8656489481,22042.417353603,27637.043923735,32752.044153045,267510.25139996
26612200,7689.0217732624,1918.1124237436,22451.3091423,27997.215008935,33136.778816311,266807.56283545
27096200,7461.4419003637,1719.0321192471,22851.132140363,28353.931718545,33520.195757394,266094.26636409
27580200,7238.5003887068,1539.4424182956,23243.503310032,28716.177632274,33904.243809601,265358.13244109
28064200,7020.0713402019,1366.6165943706,23632.931241135,29089.077515057,34291.52519283,264599.77811641
28548200,6804.9105247594,1185.2050401774,24022.236411499,29475.484938919,34682.843823611,263829.31926104
29032200,6592.0267422165,998.07548044429,24434.29349251,29880.806317653,35077.888736494,263016.90923068
29516200,6381.2927754094,799.81524721072,24836.905278562,30282.216750906,35474.175781725,262225.59416619
30000200,6174.1130490993,609.97729156187,25226.331796572,30686.109710119,35869.899563051,261433.5685896
30484200,5971.1087473804,431.23440208265,25609.851786161,31092.489197606,36264.262575325,260631.05329145
30968200,5772.7121307637,269.1441688354,25973.577785522,31510.394764468,36658.811997235,259815.35915318
31452200,5577.8676816482,149.86559679139,26334.338026406,31900.938282692,37055.401910926,258981.58850154
31936200,5385.4190362136,83.396338502393,26682.175615017,32266.130141939,37455.565097651,258127.31377068
32420200,5194.8785774847,39.663633453828,27018.380600944,32622.349177325,37859.484585383,257265.24342541
32904200,5007.0871431396,10.229017087824,27349.478950059,32968.826340062,38266.130586182,256398.24796347
33388200,4823.4823871617,1.4249967883307,27679.079785475,33302.634517031,38674.38616451,255518.99214903
33872200,4644.6721600506,0.15866444383362,28008.632505256,33636.094281424,39083.498441972,254626.94394685
34356200,4469.7260713202,0.020461037516428,28338.377874065,33970.868548773,39493.475673577,253727.53137123
34840200,4297.0640263411,0.0031833122976582,28667.667698471,34306.539997304,39903.122740618,252825.60235395
35324200,4125.9182263766,0.00054385583661322,28995.452434793,34642.341467324,40310.124482319,251926.16284533
35808200,3956.9864254882,9.8984188203877e-05,29321.260271921,34975.002398486,40713.28980367,251033.46100145
36292200,3791.9049581839,1.9293120013043e-05,29645.479900524,35300.156586267,41113.118840514,250149.33969522
36776200,3631.5755488649,4.037188194336e-06,29968.952366102,35615.81703993,41509.778999379,249273.87604169
37260200,3475.432964266,8.6121061045376e-07,30292.440682581,35923.936138607,41903.000884829,248405.18932886
37744200,3322.0384781112,1.8737317729811e-07,30616.330141431,36228.56300931,42292.569757951,247540.49861301
38228200,3170.1624323308,4.1363212181116e-08,30940.838422102,36533.155012337,42679.23678629,246676.6073469
38712200,3019.8558675141,9.3335819160511e-09,31265.878089637,36838.495632149,43064.589180949,245811.18122974
39196200,2872.425382762,2.1487039957185e-09,31591.245748486,37143.191169551,43450.480794146,244942.65690505
39680200,2729.2845102266,5.0295957877696e-10,31916.674446586,37444.941910604,43837.763385525,244071.33574706
40164200,2590.4912877718,1.1761269702495e-10,32241.924745111,37742.078426418,44226.814166451,243198.69137425
40648200,2454.1893327364,2.8082169369153e-11,32567.317002349,38034.436263151,44617.978133709,242326.07926805
41132200,2317.570973074,6.7646336221516e-12,32893.512217711,38323.347976718,45012.476440431,241453.09239207
41616200,2179.0338685292,1.6544416956008e-12,33220.889646349,38610.886678645,45414.532895512,240574.65691097
42100200,2039.6818865219,4.091497379553e-13,33549.290771994,38898.454136831,45831.306089507,239681.26711515
42584200,1902.3066380595,1.0236427224599e-13,33878.242484606,39186.039823434,46267.608902372,238765.80215153
43068200,1766.8839326573,2.520774774493e-14,34207.646734227,39473.164429548,46720.350335658,237831.95456791
43552200,1632.9596364838,6.3789896180284e-15,34537.688688951,39758.649097763,47200.236656305,236870.4659205
44036200,1506.7360416148,1.6091758597526e-15,34868.20132635,40041.163593289,47690.411699046,235893.4873397
44520200,1378.8689468791,4.106398704206e-16,35199.636080195,40320.404401086,48179.149797201,234921.94077464
45033240,1246.0548920662,9.7990584512483e-17,35559.448066068,40613.908400004,48697.757325401,233882.83131646
45314307.947213,1178.5558856298,4.4587626178208e-17,35766.055763919,40774.115934035,48970.559283624,233310.71313279
45423371.771089,1152.4108533123,3.2381254695504e-17,35838.713965305,40836.347483572,49084.447368845,233088.08032897
45599020.15008,1110.2247430101,1.95183882369e-17,35961.39176661,40936.273488605,49262.10336065,232730.00664113
45863401.815896,1044.4943548408,9.2174568953667e-18,36150.323115774,41086.782419724,49528.161129653,232190.23898001
46187513.969566,967.97329213335,3.7180379700338e-18,36380.523072651,41271.253057038,49854.8782227,231525.37235548
46548693.872893,892.78166301158,1.3592909786896e-18,36634.044873646,41476.926115348,50218.44760806,230777.79973993
46909873.776221,820.84559293698,4.9782508925766e-19,36897.236705353,41682.31795163,50586.961913306,230012.63783677
47331009.5435,729.78390426208,1.5576693953262e-19,37214.041030019,41920.608898584,51013.916684853,229121.64948228
47768037.226527,636.1122923555,4.6885993309005e-20,37522.932450293,42166.100980698,51471.682230282,228203.17204637
48205064.909553,549.31781729801,1.4155444760681e-20,37821.947467917,42409.156567641,51938.219979078,227281.35816807
48504341.466889,493.61287820576,6.1560978327243e-21,38026.173767888,42574.38189605,52255.86076976,226649.9706881
48812008.95574,439.23496222,2.6217277450941e-21,38237.5489314,42743.350153274,52575.12327024,226004.74268287
49177517.932494,378.31513368996,9.593705109985e-22,38492.26907292,42943.261108374,52947.880843778,225238.27384124
49549795.594003,315.63378463861,3.4441777802019e-22,38749.988159296,43146.571427421,53334.203158526,224453.60347012
49922073.255512,249.04865236036,1.2335511676891e-22,39007.676333535,43349.885786381,53733.852029496,223659.53719823
50294350.917021,182.7315558587,4.3986242016745e-23,39263.596149333,43553.205475938,54146.1517165,222854.31510237
50666628.57853,121.27101362731,1.5627239534862e-23,39519.875960044,43756.39253242,54563.053297652,222039.40719626
51038906.240039,67.77143015027,5.5385858867302e-24,39782.585745613,43958.781731587,54979.303516174,221211.55757648
51411183.901548,29.758884660388,1.9649966832889e-24,40039.173985455,44159.665758339,55394.915508242,220376.4858633
51783461.563057,9.9392422023224,7.0178008374232e-25,40295.132989891,44358.742888648,55803.92111704,219532.26376222
52155739.224566,2.7577257712129,2.5130673978696e-25,40557.575448243,44555.746347972,56197.96905457,218685.95142344
52528016.886075,0.74061803427605,9.0406298593772e-26,40819.672283813,44751.147445215,56584.425905128,217844.01374781
52900294.547584,0.20713487289745,3.2613529541334e-26,41086.706793124,44945.407668213,56960.774055601,217006.90434819
53272572.209093,0.060699373085328,1.1773778213524e-26,41358.947354884,45139.239331033,57331.95361505,216169.79899966
53644849.870602,0.018491561258455,4.2460339497974e-27,41617.984371197,45333.090722253,57721.856377772,215327.05003722
54017127.532111,0.0058354022048238,1.5277028300051e-27,41885.504080966,45527.273750008,58111.182555177,214476.03377845
54389405.19362,0.001910892410405,5.4805657102161e-28,42155.493499873,45721.489245523,58496.92223397,213626.09310974
54761682.855129,0.000650796355596,1.9611953217015e-28,42428.880122065,45915.392398724,58878.349687333,212777.37714108
55133960.516638,0.00022985713847562,7.0144558363493e-29,42708.343100175,46108.254823722,59256.713498282,211926.68834796
55437739.08843,9.9876847556517e-05,2.4743630496701e-16,42935.547691507,46264.408582035,59568.75186277,211231.29176381
55600897.963695,6.3574913721148e-05,8.8982270664692e-18,43053.78851067,46347.661364139,59740.194647393,210858.35541422
55764742.655181,4.0667193915847e-05,9.1265524789723e-20,43173.439640053,46430.942876046,59910.824678962,210484.79276427
56028616.169268,2.0157498220835e-05,9.7706328035317e-22,43366.671996157,46564.108904182,60185.029299209,209884.18978029
56345021.479561,8.8338304237945e-06,1.1087770165323e-22,43600.201250559,46722.767531161,60514.365730843,209162.6654786
56661426.789854,3.9074567038877e-06,2.1760076347502e-23,43836.912585664,46880.835230314,60847.19976874,208435.05241137
57009472.631176,1.6138077350646e-06,4.2907437890342e-24,44100.298225838,47054.578952566,61218.244157995,207626.87866199
57371440.306151,6.5027908119236e-07,9.1858489061014e-25,44373.920980793,47235.721749402,61615.40409546,206774.95317369
57443906.445598,5.3877036864559e-07,6.5089551546911e-25,44432.1082699,47271.999803897,61690.642946205,206605.24897946
57448779.470233,5.3192554455671e-07,6.3711967504047e-25,44443.498425683,47274.443234107,61688.140653448,206593.91768623
57455611.290377,5.2250425415073e-07,6.1796493670345e-25,44440.647274581,47277.872326005,61703.489039278,206577.99135961
57460959.520049,5.1524375168508e-07,6.0359418951553e-25,44452.521416838,47280.557350729,61701.422107809,206565.49912411
57469074.445772,5.0442856878138e-07,5.821809892345e-25,44450.547811685,47284.62990596,61718.254320791,206546.56796106
57474239.848214,4.9765967827506e-07,5.6913509692693e-25,44462.380532125,47287.222617997,61715.880485334,206534.51636405
57482077.368238,4.8757093641033e-07,5.4966888871848e-25,44460.069547058,47291.107633742,61732.499839879,206516.32297883
