time,area_al2cu_eta1,area_al2cu_eta2,area_al3ni_eta3,area_al3ni_eta4,area_al3ni_eta5,area_al_eta6
0,25902.432232656,25457.51108317,5019.481642672,7860.9653404568,14594.041229196,281165.56847187
480000,25645.849215452,25207.731438869,5084.5908190784,7937.2649948105,14687.128658808,281437.43487298
880000,25310.760160698,24872.456046619,5167.2206301767,8036.7880704397,14799.762005586,281813.01308648
1280000,24908.084249558,24466.279707543,5264.3301486814,8159.8529625441,14934.817700666,282266.63523101
1616000,24553.205650881,24109.316487315,5352.6329645665,8271.5773666381,15061.675511182,282651.59201942
1936000,24222.81458181,23777.897930783,5441.6290128821,8381.2768741481,15191.360019622,282985.02158076
2256000,23909.766449253,23463.808252103,5534.645883166,8494.85757887,15327.755351703,283269.1664849
2576000,23612.336688095,23164.023802283,5631.3960887928,8614.3281483272,15469.075905509,283508.83936699
2896000,23321.490183718,22869.174987782,5732.26623069,8739.8254623716,15613.455720868,283723.78741457
3216000,23029.421089537,22573.738865866,5836.3132495043,8867.484747807,15758.940407893,283934.10163939
3536000,22732.491276825,22275.40172548,5940.8720474872,8992.742798518,15903.402400775,284155.08975092
3856000,22429.620669538,21970.791658136,6043.6083828448,9114.1822327533,16045.078009304,284396.71904742
4176000,22122.459496834,21657.874704577,6144.1207171752,9234.0269228953,16182.976885546,284658.54127297
4496000,21816.613340856,21341.284783174,6243.604170941,9355.1881451896,16317.148935619,284926.16062422
4816000,21518.656962042,21031.954958807,6342.933839349,9477.5603229248,16448.548529094,285180.34538778
5136000,21231.194640041,20737.734880737,6442.3878544546,9598.8282042866,16578.555936405,285411.29848408
5456000,20951.451006336,20455.758086715,6543.0404642009,9718.3999381529,16708.612746217,285622.73775838
5776000,20673.882099208,20175.568170567,6646.4486444268,9838.6593058874,16839.823719547,285825.61806037
6096000,20393.565567535,19887.548596855,6753.406827535,9962.7743290913,16973.017380718,286029.68729827
6364800,20154.573092421,19637.244526038,6846.0052383627,10071.176606783,17086.792382189,286204.20815421
6620800,19925.552859297,19394.89685911,6936.253811665,10177.344077388,17196.888714261,286369.06367828
6876800,19697.924433342,19154.120781454,7028.003688652,10285.009065712,17308.708463332,286526.23356751
7132800,19474.237979912,18919.647769257,7120.3553195106,10393.141338263,17422.202280426,286670.41531263
7388800,19255.693931633,18692.821142979,7212.4427004997,10501.85906034,17537.095317579,286800.08784697
7644800,19041.66698824,18471.533720807,7303.8407578052,10611.983734321,17652.974280151,286918.00051868
7900800,18830.440123874,18251.662816164,7394.9425903977,10724.357348737,17769.243989663,287029.35313116
8156800,18620.167181675,18029.814102534,7486.5646715786,10838.661152559,17885.252990065,287139.53990159
8412800,18409.586925323,17805.169182063,7579.2367859808,10953.301457263,18000.445421349,287252.26022802
8668800,18198.250026171,17579.181087532,7672.6583552787,11066.228309287,18114.403396967,287369.27882477
8924800,17986.630677502,17353.479273979,7766.0195599856,11176.730605763,18226.911134827,287490.22874795
9180800,17775.744881212,17128.386784587,7859.0451632444,11286.043299259,18337.995825643,287612.78404606
9436800,17566.710796831,16903.647471761,7952.2503078543,11396.18925889,18447.747157171,287733.45500749
9692800,17360.276094792,16679.668559632,8046.7016592716,11508.398074585,18556.438175256,287848.51743646
9948800,17156.65938214,16457.981273899,8143.2550255265,11622.382437174,18664.374218744,287955.34766252
10204800,16955.599930931,16240.534078123,8242.0841236025,11736.916662593,18771.953251702,288052.91195305
10460800,16756.643890676,16028.032034151,8342.6190248785,11851.000311093,18879.614519478,288142.09021972
10716800,16559.135998682,15818.846161045,8444.0654427241,11964.721153518,18987.789608545,288225.44163549
10972800,16362.438571059,15609.74069507,8545.8269242829,12079.083895425,19096.88855065,288306.02136352
11228800,16166.076995825,15398.059426473,8647.5412978875,12195.347567698,19207.312665032,288385.66204709
11484800,15969.81628713,15183.132422105,8749.0018009222,12314.150491027,19319.288816592,288464.61018222
11740800,15774.086918354,14966.588642156,8850.3634382831,12435.366070823,19432.997466661,288540.59746372
11996800,15579.591460436,14751.367516637,8952.1180265528,12558.172141863,19548.308930382,288610.44192413
12252800,15387.166956323,14540.219717063,9054.8365046919,12681.635263618,19664.976775534,288671.16478277
12508800,15197.355557827,14334.681114038,9158.5049350275,12805.069716074,19782.433473382,288721.95520365
12764800,15010.178239654,14134.163208179,9262.4979669976,12928.453173054,19900.126383048,288764.58102907
13020800,14825.049739997,13936.201723012,9365.9555044978,13052.297177817,20017.381366678,288803.114488
13276800,14641.134406605,13737.85829265,9468.5445581966,13176.837041157,20133.691411429,288841.93428996
13532800,14457.658422108,13537.374531853,9570.6925613604,13301.262741424,20248.679987124,288884.33175613
13788800,14274.286450219,13335.050163813,9673.2522022125,13424.036333232,20362.217050443,288931.15780008
14044800,14091.230396943,13132.596466253,9776.9102452561,13543.892560537,20474.300326109,288981.0700049
14300800,13909.123263641,12932.196631555,9881.8360829835,13660.784718305,20585.108194192,289030.95110932
14556800,13728.791289956,12735.321190252,9987.7279572508,13776.024306929,20694.933097363,289077.20215825
14812800,13550.774611353,12541.918218804,10094.257386731,13891.928934745,20804.138499226,289116.98234914
15068800,13375.250258504,12350.407462326,10201.280086653,14010.984592568,20913.181619703,289148.89598025
15324800,13201.745269548,12159.338648119,10308.773482796,14134.635352965,21022.482392806,289173.02485377
15580800,13029.580798528,11967.994833789,10416.380053178,14262.948518833,21132.468041773,289190.6277539
15836800,12858.069735668,11776.28302874,10523.982493111,14395.06687151,21243.519337873,289203.0785331
16092800,12686.906864315,11583.898354945,10631.954702233,14529.849546595,21355.884247334,289211.50628458
16348800,12516.136834852,11390.076570601,10741.140765442,14666.751432671,21469.722437215,289216.17195922
16604800,12346.11935364,11193.890327958,10851.848508703,14806.127143868,21585.009802386,289217.00486345
16860800,12177.316866241,10993.069130942,10963.586708817,14950.672498849,21701.589348087,289213.76544707
17075840,12036.792674002,10819.2178227,11057.609887679,15078.217356219,21800.304141388,289207.85811801
17280640,11904.316591429,10648.520105274,11146.786226997,15206.177560702,21894.699966961,289199.49954864
17485440,11773.262643008,10472.623581911,11235.569353908,15340.773076743,21989.215351318,289188.55599311
17690240,11643.544771224,10291.727735116,11324.152426103,15481.613655481,22083.577659431,289175.38375265
17895040,11514.965655663,10106.181010868,11412.865745485,15628.033486025,22177.556037229,289160.39806473
18099840,11387.256061915,9916.1148798062,11501.898292091,15779.619236346,22270.95236968,289144.15916016
18304640,11260.152690277,9722.0533808295,11591.333934399,15935.756633243,22363.627749108,289127.07561214
18509440,11133.511537376,9525.0620680198,11681.410647035,16095.149082197,22455.507202814,289109.35946256
18714240,11007.154053045,9325.917658208,11772.646772069,16256.330502227,22546.606010138,289091.34500431
18919040,10881.103321197,9124.8222341534,11865.921158502,16418.321586924,22636.980456134,289072.85124309
19123840,10755.413118968,8922.0370204756,11961.834452568,16580.587124036,22726.733824221,289053.39445973
19328640,10630.237289681,8717.8108592096,12060.797481754,16743.20954144,22816.006866634,289031.93796128
19533440,10505.845507159,8513.4154233182,12162.458185884,16906.202628956,22904.941552127,289007.13670256
19705472,10402.143199031,8342.2630598855,12249.867865797,17043.39316496,22979.500843521,288982.83186681
19869312,10304.217018508,8179.9697326244,12334.627821152,17174.57222651,23050.423280228,288956.18992098
